                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79986,                 1.4823,                0.95334,                0.88612,                 0.8435,                0.91432,                0.61779,                0.88937,                0.60173,                0.95447,              0.0033302,              0.0033302,              0.0033302
                      2,                0.71388,                0.56619,                 0.9156,                0.85975,                 0.9254,                0.94351,                0.63644,                0.90164,                0.46904,                0.97074,              0.0066306,              0.0066306,              0.0066306
                      3,                  0.719,                0.48061,                0.92345,                0.89436,                 0.9133,                0.93706,                0.61994,                0.92572,                 0.5016,                0.98908,              0.0098979,              0.0098979,              0.0098979
                      4,                0.70738,                0.45206,                0.92476,                0.94528,                0.91229,                0.96495,                0.66454,                0.90224,                 0.4499,                0.99467,              0.0098515,              0.0098515,              0.0098515
                      5,                0.67478,                0.41224,                0.91315,                0.91626,                 0.8681,                0.94673,                0.63503,                0.90443,                0.47202,                 1.0005,              0.0098515,              0.0098515,              0.0098515
                      6,                0.64937,                0.38728,                0.90381,                0.91247,                0.87857,                 0.9604,                0.65426,                0.89695,                0.45703,                0.99827,               0.009802,               0.009802,               0.009802
                      7,                0.62994,                0.36953,                0.89614,                0.93859,                 0.8707,                0.95109,                0.65271,                0.87249,                0.42495,                 0.9888,              0.0097525,              0.0097525,              0.0097525
                      8,                0.61444,                0.35691,                0.89075,                0.88795,                0.90062,                0.95844,                0.65358,                0.88915,                 0.4343,                 1.0058,               0.009703,               0.009703,               0.009703
                      9,                0.60365,                0.34624,                0.88743,                0.93884,                0.85259,                0.94657,                0.66109,                0.87351,                0.43518,                0.98967,              0.0096535,              0.0096535,              0.0096535
                     10,                0.59314,                 0.3376,                 0.8839,                0.91089,                0.84776,                0.93499,                0.65826,                0.88923,                0.41589,                 1.0107,               0.009604,               0.009604,               0.009604
                     11,                0.58294,                0.32942,                0.88214,                0.92474,                0.85167,                0.94099,                0.65828,                0.89589,                0.45017,                 1.0162,              0.0095545,              0.0095545,              0.0095545
                     12,                  0.574,                 0.3244,                0.87716,                0.91915,                0.88817,                0.96026,                0.66071,                0.88647,                0.42812,                0.99876,               0.009505,               0.009505,               0.009505
                     13,                0.56886,                0.31919,                0.87551,                0.90885,                0.89879,                0.95034,                0.66092,                0.88929,                0.42995,                 1.0029,              0.0094555,              0.0094555,              0.0094555
                     14,                 0.5617,                0.31539,                0.87284,                0.93997,                0.85282,                0.95054,                0.67942,                0.88867,                0.43504,                 1.0027,               0.009406,               0.009406,               0.009406
                     15,                0.55397,                0.31074,                 0.8712,                0.91137,                0.88368,                0.95126,                0.66614,                0.88994,                0.40956,                 1.0067,              0.0093565,              0.0093565,              0.0093565
                     16,                0.54762,                0.30619,                0.86835,                0.94132,                0.84209,                0.94287,                0.67166,                0.88335,                0.42953,                 1.0047,               0.009307,               0.009307,               0.009307
                     17,                0.54247,                0.30259,                 0.8663,                0.96328,                0.82952,                0.93924,                0.66741,                0.88883,                0.43265,                 1.0194,              0.0092575,              0.0092575,              0.0092575
                     18,                 0.5384,                 0.3001,                0.86665,                0.91857,                0.87473,                0.94525,                 0.6641,                0.88377,                0.43088,                 1.0142,               0.009208,               0.009208,               0.009208
                     19,                0.53142,                0.29629,                0.86478,                 0.9165,                 0.8656,                0.94357,                0.66361,                0.88599,                0.43594,                 1.0187,              0.0091585,              0.0091585,              0.0091585
                     20,                0.52921,                0.29439,                0.86392,                0.90682,                0.89648,                0.95896,                0.66733,                0.88355,                0.43003,                 1.0134,               0.009109,               0.009109,               0.009109
                     21,                 0.5253,                0.29228,                0.86292,                0.92684,                0.87243,                0.95208,                 0.6631,                0.88452,                0.42837,                 1.0162,              0.0090595,              0.0090595,              0.0090595
                     22,                0.52142,                0.29048,                0.86074,                 0.9093,                0.89143,                0.94954,                0.66506,                0.88607,                0.43587,                 1.0186,                0.00901,                0.00901,                0.00901
                     23,                0.51634,                0.28664,                0.86056,                0.90573,                0.88106,                0.95097,                0.67077,                0.88525,                0.45308,                 1.0208,              0.0089605,              0.0089605,              0.0089605
                     24,                0.51238,                0.28442,                0.85754,                0.93447,                0.85891,                0.95699,                 0.6735,                0.88597,                0.44968,                 1.0252,               0.008911,               0.008911,               0.008911
                     25,                0.51267,                0.28414,                0.85866,                0.93045,                0.86899,                0.95731,                0.67514,                0.88863,                0.45665,                 1.0284,              0.0088615,              0.0088615,              0.0088615
                     26,                0.50756,                0.28203,                0.85586,                0.92896,                0.86887,                0.95731,                0.67666,                0.88769,                0.44986,                 1.0262,               0.008812,               0.008812,               0.008812
                     27,                0.50492,                0.28053,                0.85639,                0.92832,                0.87193,                0.95865,                0.67522,                0.88822,                0.44865,                 1.0239,              0.0087625,              0.0087625,              0.0087625
                     28,                0.50277,                0.27952,                0.85589,                0.93009,                0.87242,                0.96033,                0.67655,                0.88879,                0.44737,                 1.0232,               0.008713,               0.008713,               0.008713
                     29,                0.49901,                0.27689,                 0.8541,                0.93346,                0.87127,                0.96086,                0.67811,                0.88945,                0.44735,                 1.0239,              0.0086635,              0.0086635,              0.0086635
                     30,                0.49983,                  0.277,                0.85452,                 0.9332,                0.87888,                 0.9633,                0.67801,                0.88916,                0.44648,                 1.0249,               0.008614,               0.008614,               0.008614
                     31,                0.49571,                0.27552,                0.85311,                0.93337,                0.87922,                0.96371,                0.67707,                0.89009,                0.44915,                 1.0252,              0.0085645,              0.0085645,              0.0085645
                     32,                0.49257,                0.27344,                0.85142,                0.91997,                0.88038,                0.96099,                0.67832,                0.89084,                0.45132,                 1.0253,               0.008515,               0.008515,               0.008515
                     33,                0.49138,                0.27276,                0.85121,                0.90708,                0.89253,                0.96244,                0.67948,                0.89207,                0.45049,                 1.0261,              0.0084655,              0.0084655,              0.0084655
                     34,                0.48853,                 0.2707,                0.85095,                0.91005,                0.88813,                0.96137,                0.67558,                0.89268,                0.44935,                 1.0269,               0.008416,               0.008416,               0.008416
                     35,                0.48826,                0.27179,                0.85066,                0.91846,                0.87509,                0.95743,                0.67763,                0.89339,                0.44985,                 1.0279,              0.0083665,              0.0083665,              0.0083665
                     36,                0.48485,                0.26884,                0.85025,                0.92971,                0.87633,                0.95987,                0.67709,                0.89347,                0.45138,                 1.0286,               0.008317,               0.008317,               0.008317
                     37,                 0.4833,                0.26747,                0.84874,                0.93204,                0.87529,                0.95936,                0.67671,                0.89387,                0.45384,                 1.0296,              0.0082675,              0.0082675,              0.0082675
                     38,                0.48079,                0.26726,                0.84932,                0.93058,                0.87342,                0.95874,                0.67739,                0.89363,                 0.4529,                 1.0301,               0.008218,               0.008218,               0.008218
                     39,                0.47973,                0.26566,                0.84718,                0.93092,                0.87199,                 0.9589,                 0.6775,                0.89416,                 0.4523,                 1.0312,              0.0081685,              0.0081685,              0.0081685
                     40,                0.47832,                0.26502,                0.84653,                0.93265,                0.86734,                0.95908,                0.67847,                 0.8946,                0.45207,                 1.0315,               0.008119,               0.008119,               0.008119
                     41,                0.47681,                0.26431,                0.84685,                 0.9359,                0.87007,                0.95914,                0.67846,                0.89473,                0.45135,                  1.032,              0.0080695,              0.0080695,              0.0080695
                     42,                0.47349,                0.26433,                0.84659,                0.93576,                0.87379,                0.95919,                0.67801,                0.89529,                 0.4512,                 1.0329,                0.00802,                0.00802,                0.00802
                     43,                0.47364,                 0.2626,                 0.8468,                0.93295,                0.87563,                0.95925,                0.67668,                 0.8953,                0.45153,                 1.0335,              0.0079705,              0.0079705,              0.0079705
                     44,                0.47329,                0.26221,                 0.8454,                0.93546,                0.87781,                0.95956,                0.67654,                0.89554,                0.45178,                 1.0337,               0.007921,               0.007921,               0.007921
                     45,                0.47087,                0.26089,                0.84597,                0.93562,                0.88003,                0.96037,                0.67699,                0.89574,                0.45133,                 1.0336,              0.0078715,              0.0078715,              0.0078715
                     46,                0.46707,                  0.259,                 0.8452,                0.93518,                0.88457,                0.96073,                0.67567,                0.89576,                0.45133,                 1.0338,               0.007822,               0.007822,               0.007822
                     47,                0.46699,                0.25946,                0.84463,                0.93543,                0.88465,                0.96151,                0.67572,                0.89611,                0.45176,                 1.0339,              0.0077725,              0.0077725,              0.0077725
                     48,                0.46551,                0.25739,                0.84391,                0.93372,                0.88364,                0.96174,                0.67593,                0.89619,                0.45267,                 1.0344,               0.007723,               0.007723,               0.007723
                     49,                0.46346,                0.25636,                0.84441,                0.93725,                 0.8817,                0.96154,                0.67594,                0.89674,                0.45418,                  1.035,              0.0076735,              0.0076735,              0.0076735
                     50,                 0.4627,                0.25648,                 0.8436,                0.93887,                0.88018,                0.96166,                0.67534,                0.89677,                0.45395,                 1.0353,               0.007624,               0.007624,               0.007624
                     51,                0.46315,                0.25619,                0.84272,                0.94169,                0.87854,                0.96164,                0.67589,                0.89667,                0.45386,                 1.0354,              0.0075745,              0.0075745,              0.0075745
                     52,                0.46016,                0.25565,                0.84216,                 0.9435,                0.87579,                0.96197,                0.67579,                0.89713,                0.45394,                 1.0355,               0.007525,               0.007525,               0.007525
                     53,                0.45942,                0.25417,                0.84261,                0.94706,                0.87709,                0.96279,                 0.6759,                0.89702,                0.45375,                 1.0354,              0.0074755,              0.0074755,              0.0074755
                     54,                0.45675,                 0.2527,                0.84045,                0.94777,                0.87553,                0.96299,                0.67646,                0.89757,                0.45433,                 1.0357,               0.007426,               0.007426,               0.007426
                     55,                0.45698,                0.25299,                0.84077,                0.95092,                0.87437,                 0.9629,                0.67758,                0.89821,                0.45541,                 1.0359,              0.0073765,              0.0073765,              0.0073765
                     56,                0.45441,                 0.2528,                0.84077,                0.94857,                0.87665,                 0.9632,                0.67573,                0.89869,                0.45678,                 1.0365,               0.007327,               0.007327,               0.007327
                     57,                0.45414,                0.25196,                0.84094,                0.94633,                 0.8775,                  0.964,                0.67798,                0.89927,                0.45914,                 1.0367,              0.0072775,              0.0072775,              0.0072775
                     58,                0.45386,                0.25157,                0.84092,                0.94349,                  0.884,                0.96399,                0.67772,                0.89939,                0.45843,                 1.0367,               0.007228,               0.007228,               0.007228
                     59,                0.45172,                  0.251,                 0.8393,                0.93521,                0.88594,                 0.9638,                0.67708,                 0.8996,                0.45809,                  1.037,              0.0071785,              0.0071785,              0.0071785
                     60,                0.45021,                0.25077,                 0.8406,                0.93367,                0.88268,                0.95943,                0.67662,                0.90074,                0.46002,                  1.038,               0.007129,               0.007129,               0.007129
                     61,                0.44893,                0.24968,                0.84009,                 0.9379,                0.88512,                0.95999,                0.67575,                0.90082,                0.45916,                 1.0381,              0.0070795,              0.0070795,              0.0070795
                     62,                0.45017,                0.25029,                0.84021,                0.94177,                0.88683,                0.96472,                0.67676,                0.90083,                0.45954,                 1.0383,                0.00703,                0.00703,                0.00703
                     63,                0.44798,                0.24912,                 0.8396,                 0.9464,                0.88341,                0.96467,                0.67663,                0.90127,                0.46007,                 1.0388,              0.0069805,              0.0069805,              0.0069805
                     64,                    inf,                0.24915,                0.83907,                0.95096,                0.87153,                0.96124,                0.67621,                0.90158,                 0.4601,                 1.0391,               0.006931,               0.006931,               0.006931
                     65,                0.44402,                0.24677,                0.83824,                0.93062,                0.88738,                0.96088,                0.67634,                0.90254,                0.46276,                   1.04,              0.0068815,              0.0068815,              0.0068815
                     66,                0.44471,                0.24776,                  0.838,                0.93117,                0.88629,                0.96106,                 0.6753,                0.90196,                0.46122,                 1.0397,               0.006832,               0.006832,               0.006832
                     67,                0.44571,                0.24703,                0.83762,                0.93117,                0.88583,                0.96088,                0.67509,                0.90173,                 0.4625,                 1.0399,              0.0067825,              0.0067825,              0.0067825
                     68,                0.44105,                0.24526,                0.83789,                0.93732,                0.87852,                0.96395,                0.67518,                0.90218,                0.46439,                 1.0405,               0.006733,               0.006733,               0.006733
