                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4415,                 1.9372,                 1.1695,                0.62694,                0.20328,                0.22752,                 0.1449,                 1.3826,                 1.4004,                 1.0887,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.4092,                 1.4197,                 1.1542,                0.62092,                0.21662,                0.23915,                 0.1503,                 1.3768,                 1.2809,                 1.1013,              0.0066218,              0.0066218,              0.0066218
                      3,                 1.4392,                 1.3551,                 1.1689,                0.55244,                0.20721,                0.23257,                0.14436,                 1.4115,                 1.2679,                 1.1209,              0.0098672,              0.0098672,              0.0098672
                      4,                 1.4465,                 1.2824,                 1.1748,                0.47004,                 0.2271,                0.25036,                0.15659,                 1.3605,                 1.1413,                 1.1005,               0.009802,               0.009802,               0.009802
                      5,                  1.401,                 1.1863,                 1.1516,                0.46203,                  0.236,                0.26228,                0.16474,                 1.3366,                 1.0882,                 1.0849,               0.009802,               0.009802,               0.009802
                      6,                 1.3712,                 1.1343,                 1.1398,                0.48578,                0.24364,                0.27048,                0.17123,                 1.3108,                 1.0419,                 1.0749,               0.009736,               0.009736,               0.009736
                      7,                 1.3496,                 1.0962,                 1.1269,                0.52436,                0.25351,                0.27895,                0.17684,                 1.2925,                 1.0105,                 1.0663,                0.00967,                0.00967,                0.00967
                      8,                 1.3355,                  1.067,                 1.1201,                0.49481,                0.25236,                0.28383,                0.17905,                 1.2836,                0.98842,                  1.063,               0.009604,               0.009604,               0.009604
                      9,                 1.3225,                 1.0481,                 1.1128,                0.50228,                 0.2606,                0.29126,                0.18465,                 1.2669,                0.96424,                 1.0547,               0.009538,               0.009538,               0.009538
                     10,                 1.3103,                 1.0281,                 1.1065,                0.48133,                 0.2648,                0.29349,                0.18716,                 1.2548,                0.94278,                 1.0471,               0.009472,               0.009472,               0.009472
                     11,                 1.2994,                 1.0131,                 1.1006,                0.62262,                0.26923,                 0.2989,                0.18981,                 1.2511,                0.92941,                 1.0431,               0.009406,               0.009406,               0.009406
                     12,                 1.2898,                0.99983,                 1.0971,                0.63315,                0.26928,                0.30079,                0.19236,                 1.2391,                0.91789,                 1.0387,                0.00934,                0.00934,                0.00934
                     13,                 1.2846,                0.99041,                 1.0946,                0.57911,                  0.271,                0.30424,                0.19434,                 1.2323,                0.90994,                 1.0382,               0.009274,               0.009274,               0.009274
                     14,                 1.2787,                0.98012,                   1.09,                0.50063,                0.27564,                 0.3057,                0.19564,                 1.2296,                0.89934,                 1.0339,               0.009208,               0.009208,               0.009208
                     15,                 1.2725,                0.96956,                 1.0868,                0.56726,                0.27541,                0.30602,                 0.1965,                 1.2238,                0.88939,                 1.0305,               0.009142,               0.009142,               0.009142
                     16,                 1.2677,                0.96373,                 1.0854,                0.56976,                0.27952,                0.31053,                0.19891,                 1.2225,                 0.8827,                 1.0295,               0.009076,               0.009076,               0.009076
                     17,                 1.2655,                0.95779,                 1.0836,                 0.5787,                 0.2781,                 0.3115,                0.19966,                 1.2186,                0.87455,                 1.0275,                0.00901,                0.00901,                0.00901
                     18,                 1.2613,                0.95198,                 1.0802,                 0.5798,                0.28114,                0.31247,                0.20056,                  1.215,                0.87264,                 1.0259,               0.008944,               0.008944,               0.008944
                     19,                 1.2583,                0.94661,                 1.0786,                0.58953,                0.28001,                0.31537,                0.20218,                 1.2133,                0.86688,                 1.0247,               0.008878,               0.008878,               0.008878
                     20,                 1.2563,                 0.9447,                 1.0805,                0.58728,                0.28221,                0.31598,                0.20316,                 1.2078,                0.86119,                 1.0228,               0.008812,               0.008812,               0.008812
                     21,                 1.2501,                0.93774,                 1.0755,                0.58818,                0.28279,                0.31638,                0.20356,                 1.2055,                0.85774,                 1.0217,               0.008746,               0.008746,               0.008746
                     22,                 1.2456,                0.92774,                 1.0721,                0.59312,                0.28361,                0.31835,                0.20449,                 1.2048,                0.85434,                 1.0212,                0.00868,                0.00868,                0.00868
                     23,                 1.2458,                0.92949,                 1.0732,                 0.6682,                 0.2806,                0.31904,                0.20508,                 1.2032,                0.85172,                 1.0207,               0.008614,               0.008614,               0.008614
                     24,                 1.2417,                0.92176,                 1.0706,                0.66967,                0.28258,                0.31998,                0.20587,                 1.2025,                0.84969,                 1.0202,               0.008548,               0.008548,               0.008548
                     25,                 1.2418,                0.92088,                 1.0696,                0.66833,                0.28375,                0.32101,                 0.2064,                  1.201,                0.84679,                  1.019,               0.008482,               0.008482,               0.008482
                     26,                  1.237,                0.91808,                 1.0682,                0.66067,                0.28626,                0.32186,                0.20677,                  1.199,                0.84368,                 1.0181,               0.008416,               0.008416,               0.008416
                     27,                 1.2355,                0.91328,                 1.0677,                0.66349,                0.28592,                0.32226,                 0.2073,                 1.1983,                0.84198,                 1.0176,                0.00835,                0.00835,                0.00835
                     28,                 1.2352,                0.91161,                 1.0663,                0.65959,                0.28703,                0.32231,                0.20728,                 1.1976,                0.84015,                 1.0174,               0.008284,               0.008284,               0.008284
                     29,                 1.2299,                0.90755,                 1.0658,                 0.6573,                0.28793,                0.32278,                 0.2076,                 1.1966,                0.83784,                  1.017,               0.008218,               0.008218,               0.008218
                     30,                 1.2283,                0.90468,                 1.0629,                0.65668,                0.28914,                0.32326,                0.20817,                 1.1952,                0.83597,                 1.0162,               0.008152,               0.008152,               0.008152
                     31,                  1.228,                0.90237,                 1.0642,                0.65905,                0.28951,                0.32423,                0.20878,                  1.194,                0.83481,                 1.0157,               0.008086,               0.008086,               0.008086
                     32,                 1.2265,                0.89897,                 1.0624,                0.65778,                 0.2897,                0.32477,                0.20919,                 1.1933,                0.83409,                 1.0152,                0.00802,                0.00802,                0.00802
                     33,                 1.2257,                0.89817,                 1.0613,                0.65958,                0.28975,                0.32524,                0.20958,                 1.1926,                0.83276,                 1.0148,               0.007954,               0.007954,               0.007954
                     34,                 1.2216,                0.89418,                 1.0601,                0.66279,                0.28973,                0.32603,                0.20998,                 1.1919,                0.83138,                 1.0142,               0.007888,               0.007888,               0.007888
                     35,                 1.2223,                0.88967,                 1.0584,                0.66692,                0.28959,                0.32641,                0.21035,                 1.1914,                0.83045,                 1.0139,               0.007822,               0.007822,               0.007822
                     36,                 1.2187,                0.88993,                 1.0585,                0.66606,                0.28972,                0.32675,                0.21054,                 1.1909,                 0.8294,                 1.0135,               0.007756,               0.007756,               0.007756
                     37,                 1.2167,                0.88772,                 1.0573,                0.66831,                0.28919,                 0.3271,                0.21074,                 1.1905,                0.82861,                 1.0132,                0.00769,                0.00769,                0.00769
                     38,                 1.2143,                0.88474,                 1.0561,                 0.6662,                0.29022,                0.32753,                0.21109,                 1.1901,                0.82772,                  1.013,               0.007624,               0.007624,               0.007624
                     39,                 1.2131,                0.88453,                 1.0571,                0.66612,                0.29038,                0.32805,                0.21132,                 1.1899,                0.82712,                 1.0128,               0.007558,               0.007558,               0.007558
                     40,                 1.2146,                0.87909,                 1.0557,                0.66438,                0.29105,                0.32834,                0.21161,                 1.1897,                0.82639,                 1.0126,               0.007492,               0.007492,               0.007492
                     41,                   1.21,                 0.8792,                 1.0551,                0.66553,                0.29044,                0.32861,                 0.2117,                 1.1895,                0.82563,                 1.0124,               0.007426,               0.007426,               0.007426
                     42,                 1.2096,                0.87863,                 1.0548,                0.66626,                0.29026,                0.32856,                0.21172,                 1.1894,                0.82493,                 1.0123,                0.00736,                0.00736,                0.00736
                     43,                 1.2104,                0.87772,                 1.0547,                0.66095,                 0.2917,                0.32884,                  0.212,                 1.1893,                0.82445,                 1.0121,               0.007294,               0.007294,               0.007294
                     44,                  1.205,                0.87224,                 1.0526,                0.66168,                0.29183,                  0.329,                0.21206,                  1.189,                0.82395,                 1.0121,               0.007228,               0.007228,               0.007228
                     45,                 1.2039,                0.87119,                 1.0534,                0.66126,                0.29252,                0.32948,                0.21236,                  1.189,                0.82357,                 1.0119,               0.007162,               0.007162,               0.007162
                     46,                 1.2024,                 0.8676,                   1.05,                0.66207,                0.29266,                0.32992,                0.21269,                 1.1887,                0.82305,                 1.0117,               0.007096,               0.007096,               0.007096
                     47,                 1.2037,                0.86849,                 1.0498,                0.66155,                0.29329,                0.33013,                0.21285,                 1.1884,                0.82245,                 1.0116,                0.00703,                0.00703,                0.00703
                     48,                 1.2028,                0.86944,                   1.05,                0.66271,                0.29355,                0.33041,                0.21315,                 1.1881,                0.82182,                 1.0114,               0.006964,               0.006964,               0.006964
                     49,                 1.2007,                 0.8656,                 1.0492,                0.66263,                0.29437,                0.33081,                0.21339,                 1.1879,                0.82134,                 1.0113,               0.006898,               0.006898,               0.006898
                     50,                 1.2006,                0.86416,                 1.0498,                0.66187,                0.29467,                0.33103,                0.21358,                 1.1876,                0.82063,                 1.0111,               0.006832,               0.006832,               0.006832
                     51,                 1.1976,                0.86263,                 1.0474,                0.66436,                0.29398,                0.33135,                0.21363,                 1.1872,                0.81994,                 1.0108,               0.006766,               0.006766,               0.006766
                     52,                 1.1971,                0.85862,                 1.0487,                0.66447,                0.29416,                0.33153,                0.21377,                 1.1868,                0.81926,                 1.0106,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.1978,                0.86226,                 1.0473,                0.66362,                0.29519,                0.33164,                0.21396,                 1.1863,                0.81886,                 1.0103,               0.006634,               0.006634,               0.006634
                     54,                 1.1928,                0.85597,                 1.0456,                0.73171,                 0.2955,                0.33188,                0.21413,                 1.1859,                0.81811,                   1.01,               0.006568,               0.006568,               0.006568
                     55,                 1.1917,                 0.8568,                 1.0459,                0.72958,                0.29605,                0.33203,                0.21429,                 1.1857,                0.81755,                 1.0098,               0.006502,               0.006502,               0.006502
