                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80706,                 1.1957,                0.98564,                0.88991,                0.86823,                0.92702,                 0.6444,                0.89061,                0.44657,                0.96842,              0.0033302,              0.0033302,              0.0033302
                      2,                0.68248,                0.41716,                0.91568,                0.92623,                0.90899,                0.96455,                0.68015,                0.87923,                0.43356,                0.97253,              0.0066306,              0.0066306,              0.0066306
                      3,                  0.686,                0.42398,                0.91817,                0.92412,                0.84132,                0.92629,                  0.591,                0.91663,                0.55008,                0.99636,              0.0098979,              0.0098979,              0.0098979
                      4,                0.67722,                0.41759,                0.91595,                0.91498,                0.90179,                0.96519,                0.68376,                0.89217,                 0.4769,                0.99982,              0.0098515,              0.0098515,              0.0098515
                      5,                0.63957,                0.38028,                0.90069,                0.92299,                0.90352,                0.96955,                0.66468,                 0.8945,                 0.4471,                 1.0033,              0.0098515,              0.0098515,              0.0098515
                      6,                0.61083,                0.35517,                0.89128,                0.92704,                0.91283,                  0.965,                0.65182,                0.88858,                0.46636,                0.99446,               0.009802,               0.009802,               0.009802
                      7,                0.58916,                0.33791,                0.88276,                0.91534,                0.88419,                0.93869,                0.65242,                0.87371,                0.47972,                0.98486,              0.0097525,              0.0097525,              0.0097525
                      8,                0.56903,                0.32338,                 0.8761,                0.94615,                0.86512,                0.95067,                0.65861,                0.88937,                0.46228,                0.99171,               0.009703,               0.009703,               0.009703
                      9,                0.55349,                0.31313,                0.87363,                0.91518,                 0.8853,                0.95053,                0.65874,                0.86969,                0.44352,                0.99961,              0.0096535,              0.0096535,              0.0096535
                     10,                0.54191,                0.30548,                0.86698,                0.92948,                 0.8795,                0.95427,                0.65581,                0.88591,                0.46557,                  0.997,               0.009604,               0.009604,               0.009604
                     11,                0.52919,                0.29678,                 0.8647,                 0.8872,                0.81802,                0.90868,                0.64927,                0.86936,                0.45403,                0.99754,              0.0095545,              0.0095545,              0.0095545
                     12,                  0.518,                0.29057,                0.86052,                0.95357,                0.91146,                0.97396,                0.66297,                 0.8762,                0.45522,                0.98499,               0.009505,               0.009505,               0.009505
                     13,                0.51162,                0.28649,                0.85825,                0.92098,                0.90158,                0.96134,                0.66041,                0.89125,                0.46573,                 1.0024,              0.0094555,              0.0094555,              0.0094555
                     14,                0.50106,                0.28162,                0.85488,                0.93445,                0.92935,                0.97381,                0.67629,                0.86761,                0.43106,                0.99575,               0.009406,               0.009406,               0.009406
                     15,                0.49217,                0.27775,                0.85345,                0.94764,                0.90866,                0.97491,                0.67259,                0.87447,                0.45166,                0.99793,              0.0093565,              0.0093565,              0.0093565
                     16,                0.48648,                0.27506,                0.85196,                0.93805,                0.90071,                0.95943,                0.65515,                 0.8797,                 0.4447,                 1.0103,               0.009307,               0.009307,               0.009307
                     17,                0.47992,                0.26998,                0.84784,                0.90714,                 0.9162,                0.96347,                0.66869,                0.88026,                0.45819,                 1.0025,              0.0092575,              0.0092575,              0.0092575
                     18,                0.47695,                0.26842,                0.84861,                0.93688,                0.88655,                0.94542,                0.65123,                0.88442,                0.45479,                 1.0087,               0.009208,               0.009208,               0.009208
                     19,                 0.4694,                 0.2638,                0.84664,                0.95567,                0.90117,                0.96832,                  0.666,                 0.8902,                0.46724,                 1.0169,              0.0091585,              0.0091585,              0.0091585
                     20,                0.46479,                 0.2617,                0.84614,                0.93001,                0.91344,                0.96733,                0.66695,                0.88838,                0.45695,                 1.0147,               0.009109,               0.009109,               0.009109
