                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2494,                 1.3707,                 1.1613,                 0.7516,                0.35424,                0.40174,                0.25818,                 1.2364,                0.99664,                 1.1162,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.2184,                 0.9911,                  1.142,                0.68416,                0.35914,                0.40634,                0.25896,                 1.2545,                0.98528,                 1.1379,              0.0065338,              0.0065338,              0.0065338
                      3,                 1.2614,                 1.0347,                 1.1699,                0.66177,                0.34841,                0.38698,                0.24325,                 1.2818,                 1.0225,                 1.1606,              0.0096032,              0.0096032,              0.0096032
                      4,                 1.2845,                 1.0613,                 1.1888,                0.61358,                0.35879,                0.40362,                0.25528,                 1.2586,                0.97744,                 1.1514,               0.009406,               0.009406,               0.009406
                      5,                 1.2572,                 1.0039,                 1.1719,                0.62929,                 0.3671,                0.41705,                0.26567,                 1.2451,                0.94361,                 1.1383,               0.009406,               0.009406,               0.009406
                      6,                 1.2322,                0.96239,                 1.1579,                 0.7831,                0.37824,                0.43211,                0.27655,                  1.222,                0.90697,                 1.1219,               0.009208,               0.009208,               0.009208
                      7,                 1.2131,                0.93124,                 1.1451,                 0.7705,                0.38865,                0.43912,                0.28184,                 1.2131,                0.87679,                 1.1162,                0.00901,                0.00901,                0.00901
                      8,                 1.1973,                0.90417,                  1.136,                0.78612,                0.39273,                0.44583,                0.28691,                 1.2016,                0.86404,                 1.1092,               0.008812,               0.008812,               0.008812
                      9,                 1.1847,                0.88615,                 1.1262,                0.72535,                0.39846,                0.45418,                0.29275,                 1.1898,                0.84196,                 1.0996,               0.008614,               0.008614,               0.008614
                     10,                 1.1746,                0.86799,                 1.1204,                0.71703,                0.40881,                0.45913,                0.29608,                 1.1847,                 0.8297,                 1.1011,               0.008416,               0.008416,               0.008416
                     11,                 1.1648,                 0.8557,                 1.1155,                0.72283,                0.41367,                  0.466,                0.30034,                 1.1768,                0.81705,                 1.0928,               0.008218,               0.008218,               0.008218
                     12,                  1.156,                0.84024,                   1.11,                 0.7249,                0.41331,                0.46675,                0.30247,                 1.1699,                0.80705,                 1.0899,                0.00802,                0.00802,                0.00802
                     13,                 1.1519,                0.83163,                 1.1066,                0.80001,                0.41567,                0.46973,                0.30425,                 1.1681,                 0.7957,                 1.0884,               0.007822,               0.007822,               0.007822
                     14,                 1.1447,                0.82216,                 1.1024,                0.73567,                0.41979,                0.47403,                0.30783,                 1.1633,                0.79211,                 1.0865,               0.007624,               0.007624,               0.007624
                     15,                 1.1377,                0.80999,                 1.0968,                0.73998,                0.42147,                0.47838,                 0.3104,                  1.161,                0.78193,                 1.0826,               0.007426,               0.007426,               0.007426
                     16,                 1.1323,                0.80352,                  1.094,                 0.7335,                 0.4269,                0.48198,                0.31252,                 1.1575,                0.77268,                  1.078,               0.007228,               0.007228,               0.007228
                     17,                  1.128,                0.79573,                 1.0915,                0.72758,                0.43306,                 0.4845,                0.31487,                 1.1551,                0.76903,                 1.0767,                0.00703,                0.00703,                0.00703
                     18,                 1.1221,                0.78738,                 1.0857,                0.66639,                0.42896,                0.48318,                0.31505,                 1.1521,                0.76505,                 1.0738,               0.006832,               0.006832,               0.006832
                     19,                 1.1182,                0.78076,                 1.0845,                0.73395,                0.43145,                0.48419,                0.31532,                 1.1514,                0.76246,                 1.0738,               0.006634,               0.006634,               0.006634
                     20,                 1.1138,                0.77534,                 1.0834,                0.66905,                0.43437,                0.48767,                0.31795,                 1.1487,                0.75618,                 1.0727,               0.006436,               0.006436,               0.006436
                     21,                 1.1077,                 0.7665,                 1.0788,                0.66889,                0.43603,                0.48848,                 0.3184,                 1.1483,                0.75332,                 1.0727,               0.006238,               0.006238,               0.006238
                     22,                 1.1034,                0.75916,                 1.0751,                0.67773,                0.43423,                0.48933,                0.31958,                 1.1463,                0.75036,                 1.0713,                0.00604,                0.00604,                0.00604
                     23,                 1.1017,                0.75512,                 1.0732,                0.74386,                0.43674,                0.49153,                0.32048,                 1.1456,                0.74662,                 1.0697,               0.005842,               0.005842,               0.005842
                     24,                 1.0968,                0.74854,                 1.0696,                0.74742,                 0.4363,                 0.4929,                0.32152,                 1.1453,                 0.7437,                 1.0686,               0.005644,               0.005644,               0.005644
                     25,                 1.0926,                 0.7437,                 1.0684,                0.67622,                0.43864,                0.49351,                 0.3223,                 1.1438,                0.74184,                 1.0677,               0.005446,               0.005446,               0.005446
                     26,                 1.0886,                0.73802,                 1.0669,                0.73986,                0.44227,                0.49489,                0.32338,                 1.1422,                0.74004,                 1.0675,               0.005248,               0.005248,               0.005248
                     27,                 1.0849,                0.73134,                 1.0649,                0.74039,                0.44301,                0.49522,                0.32367,                 1.1413,                0.73841,                 1.0668,                0.00505,                0.00505,                0.00505
                     28,                 1.0818,                0.72663,                 1.0623,                0.74199,                0.44249,                0.49579,                0.32422,                 1.1405,                0.73709,                 1.0664,               0.004852,               0.004852,               0.004852
                     29,                 1.0779,                 0.7227,                 1.0604,                0.74131,                0.44323,                0.49592,                0.32448,                 1.1396,                 0.7355,                 1.0662,               0.004654,               0.004654,               0.004654
                     30,                 1.0739,                0.71581,                 1.0569,                0.74239,                0.44229,                 0.4961,                0.32475,                 1.1391,                0.73455,                 1.0659,               0.004456,               0.004456,               0.004456
                     31,                  1.071,                0.71069,                  1.056,                0.74256,                  0.442,                0.49652,                0.32487,                 1.1387,                0.73362,                 1.0655,               0.004258,               0.004258,               0.004258
                     32,                  1.067,                0.70623,                 1.0542,                0.74254,                0.44288,                0.49671,                0.32518,                 1.1388,                0.73259,                 1.0653,                0.00406,                0.00406,                0.00406
                     33,                 1.0654,                0.70166,                 1.0515,                0.74445,                0.44243,                0.49709,                0.32546,                 1.1387,                0.73172,                  1.065,               0.003862,               0.003862,               0.003862
                     34,                 1.0591,                0.69366,                 1.0488,                0.74708,                0.44157,                0.49727,                 0.3256,                 1.1388,                0.73098,                 1.0649,               0.003664,               0.003664,               0.003664
                     35,                 1.0555,                0.68659,                 1.0454,                0.74794,                0.44222,                0.49763,                0.32578,                 1.1388,                0.73058,                 1.0647,               0.003466,               0.003466,               0.003466
                     36,                 1.0514,                0.68345,                 1.0441,                0.74894,                0.44201,                0.49796,                0.32609,                 1.1386,                0.72956,                 1.0644,               0.003268,               0.003268,               0.003268
                     37,                 1.0472,                0.67793,                 1.0423,                0.74637,                0.44368,                0.49827,                0.32618,                 1.1385,                0.72888,                 1.0642,                0.00307,                0.00307,                0.00307
                     38,                 1.0429,                0.67313,                 1.0395,                 0.7471,                0.44311,                0.49853,                 0.3264,                 1.1384,                0.72802,                  1.064,               0.002872,               0.002872,               0.002872
                     39,                 1.0399,                0.66939,                 1.0395,                0.67721,                0.44472,                0.49872,                0.32657,                 1.1383,                0.72733,                 1.0637,               0.002674,               0.002674,               0.002674
                     40,                 1.0376,                 0.6636,                 1.0352,                0.67558,                0.44603,                0.49903,                0.32675,                  1.138,                0.72656,                 1.0634,               0.002476,               0.002476,               0.002476
                     41,                 1.0587,                0.65852,                 1.0352,                0.67698,                 0.4454,                0.49922,                0.32691,                 1.1378,                0.72601,                 1.0631,               0.002278,               0.002278,               0.002278
                     42,                 1.0544,                0.64918,                 1.0336,                0.67754,                0.44493,                0.49938,                0.32705,                 1.1376,                0.72546,                 1.0628,                0.00208,                0.00208,                0.00208
                     43,                 1.0478,                0.64179,                  1.028,                0.67712,                0.44549,                0.49973,                0.32713,                 1.1377,                0.72523,                 1.0626,               0.001882,               0.001882,               0.001882
                     44,                 1.0426,                0.63407,                 1.0274,                 0.6763,                0.44635,                0.49982,                0.32722,                 1.1376,                0.72473,                 1.0624,               0.001684,               0.001684,               0.001684
                     45,                 1.0359,                0.62767,                 1.0234,                0.67549,                0.44658,                0.49998,                0.32712,                 1.1376,                0.72433,                 1.0623,               0.001486,               0.001486,               0.001486
                     46,                 1.0298,                0.62193,                 1.0197,                0.67542,                0.44671,                    0.5,                0.32714,                 1.1374,                0.72395,                 1.0621,               0.001288,               0.001288,               0.001288
                     47,                 1.0264,                0.61627,                 1.0182,                0.67475,                0.44681,                0.50005,                0.32719,                 1.1375,                0.72382,                 1.0621,                0.00109,                0.00109,                0.00109
                     48,                 1.0214,                 0.6093,                  1.014,                0.67436,                0.44663,                0.49989,                0.32717,                 1.1377,                0.72341,                  1.062,               0.000892,               0.000892,               0.000892
                     49,                 1.0171,                0.60413,                 1.0129,                0.67331,                0.44753,                0.50019,                0.32728,                 1.1379,                0.72329,                  1.062,               0.000694,               0.000694,               0.000694
                     50,                  1.011,                0.59789,                 1.0095,                0.67433,                0.44772,                0.50036,                0.32735,                  1.138,                0.72311,                 1.0619,               0.000496,               0.000496,               0.000496
